Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
32.0,North Carolina,ACC,25-11,17.13,110.4,93.3,70.9,0.038,8.95,105.5,96.6,1.14,2013.0,1314,North Carolina
35.0,Oregon,P12,28-9,16.75,104.9,88.1,68.9,0.053,6.75,104.2,97.4,-3.88,2013.0,1332,Oregon
36.0,Notre Dame,BE,25-10,16.62,112.7,96.1,62.2,0.046,8.19,104.6,96.4,-1.71,2013.0,1323,Notre Dame
40.0,Cincinnati,BE,22-12,15.6,104.1,88.5,63.9,-0.012,8.69,105.0,96.3,-1.82,2013.0,1153,Cincinnati
41.0,Virginia,ACC,23-12,15.46,105.6,90.2,61.2,-0.066,4.37,102.7,98.3,-4.21,2013.0,1438,Virginia
42.0,Butler,A10,27-9,15.38,108.7,93.4,65.0,0.088,7.74,105.6,97.8,4.93,2013.0,1139,Butler
44.0,MTSU,SB,28-6,14.72,105.3,90.6,65.1,0.052,-2.26,99.4,101.7,4.9,2013.0,1292,MTSU
46.0,UCLA,P12,25-10,14.49,109.2,94.7,69.4,0.068,9.24,105.2,96.0,4.15,2013.0,1417,UCLA
52.0,Maryland,ACC,25-13,13.6,105.3,91.7,67.5,-0.032,5.3,104.6,99.3,-6.83,2013.0,1268,Maryland
53.0,Villanova,BE,20-14,13.57,104.4,90.8,67.5,0.011,9.56,105.3,95.7,1.49,2013.0,1437,Villanova
55.0,Kentucky,SEC,21-12,13.22,109.5,96.3,66.2,-0.005,5.67,103.8,98.2,2.6,2013.0,1246,Kentucky
58.0,Bucknell,Pat,28-6,12.71,105.4,92.7,63.3,-0.014,-1.87,101.0,102.8,1.19,2013.0,1137,Bucknell
67.0,Dayton,A10,17-14,11.31,110.7,99.4,66.1,-0.1,4.99,103.1,98.1,1.91,2013.0,1173,Dayton
69.0,Providence,BE,19-15,10.75,106.0,95.3,66.1,-0.026,6.87,103.9,97.0,-3.22,2013.0,1344,Providence
74.0,Purdue,B10,16-18,10.26,105.1,94.8,66.4,-0.059,9.25,105.6,96.4,-0.39,2013.0,1345,Purdue
78.0,Xavier,A10,17-14,9.51,104.1,94.6,63.3,-0.055,6.03,104.5,98.5,4.36,2013.0,1462,Xavier
80.0,Arkansas,SEC,19-13,9.28,104.8,95.5,70.3,0.004,5.44,103.0,97.6,-0.58,2013.0,1116,Arkansas
87.0,Princeton,Ivy,17-11,7.89,106.9,99.0,60.9,-0.071,-1.7,100.2,101.9,2.35,2013.0,1343,Princeton
88.0,New Mexico St,WAC,24-11,7.72,102.9,95.2,65.1,0.04,0.44,101.4,101.0,4.14,2013.0,1308,New Mexico St
89.0,Iona,MAAC,20-14,7.46,112.5,105.0,70.6,-0.07,0.54,100.8,100.3,2.94,2013.0,1233,Iona
96.0,S Dakota St,Sum,25-10,6.81,110.1,103.3,63.9,0.03,-3.83,100.4,104.2,1.61,2013.0,1355,S Dakota St
97.0,Vanderbilt,SEC,16-17,6.77,100.7,94.0,61.6,-0.026,6.06,104.2,98.1,2.5,2013.0,1435,Vanderbilt
104.0,USC,P12,14-18,6.32,101.4,95.0,67.2,-0.015,9.71,105.9,96.1,6.76,2013.0,1425,USC
105.0,FL Gulf Coast,ASun,26-11,6.25,103.1,96.8,69.2,0.039,-3.13,99.8,102.9,4.36,2013.0,1195,FL Gulf Coast
117.0,Seton Hall,BE,15-18,4.96,102.4,97.4,65.0,-0.026,6.83,103.9,97.1,-4.53,2013.0,1371,Seton Hall
120.0,Florida St,ACC,18-16,4.46,105.3,100.8,65.9,0.085,8.05,104.9,96.8,1.6,2013.0,1199,Florida St
121.0,Kent,MAC,21-14,4.43,106.0,101.5,66.5,-0.019,-0.57,100.3,100.9,-0.08,2013.0,1245,Kent
123.0,West Virginia,B12,13-19,4.19,103.1,98.9,65.0,-0.042,7.2,106.0,98.8,2.29,2013.0,1452,West Virginia
132.0,Northwestern,B10,13-19,3.2,102.5,99.3,61.8,-0.023,10.36,106.4,96.1,-0.91,2013.0,1321,Northwestern
138.0,Northwestern,Slnd,23-9,2.87,104.9,102.0,72.7,0.075,-4.61,97.8,102.4,4.64,2013.0,1321,Northwestern
134.0,Vermont,AE,21-12,3.14,101.2,98.0,62.4,-0.005,-4.55,98.5,103.0,-2.41,2013.0,1436,Vermont
137.0,Wake Forest,ACC,13-18,2.89,99.6,96.7,69.2,-0.007,6.61,105.5,98.9,-0.79,2013.0,1448,Wake Forest
158.0,TX Southern,SWAC,17-14,0.61,103.5,102.9,64.6,-0.061,-8.39,95.6,103.9,6.94,2013.0,1411,TX Southern
164.0,NC Central,MEAC,22-9,0.31,97.4,97.1,64.2,0.026,-8.12,94.8,102.9,0.01,2013.0,1300,NC Central
169.0,Virginia Tech,ACC,13-19,-0.1,105.2,105.3,67.6,0.031,7.23,104.9,97.7,-1.92,2013.0,1439,Virginia Tech
172.0,Nevada,MWC,12-19,-0.31,103.1,103.4,66.9,0.038,7.08,105.1,98.0,0.47,2013.0,1305,Nevada
185.0,SMU,CUSA,15-17,-1.25,98.9,100.1,63.9,-0.07,-2.52,99.6,102.1,-5.64,2013.0,1374,SMU
193.0,Rhode Island,A10,8-21,-2.23,98.6,100.8,63.3,-0.043,5.7,104.6,98.9,3.03,2013.0,1348,Rhode Island
204.0,Jacksonville St,OVC,17-11,-3.42,100.6,104.0,62.7,0.087,-4.79,98.8,103.6,-6.29,2013.0,1240,Jacksonville St
209.0,South Carolina,SEC,14-18,-3.63,99.8,103.5,66.5,0.028,1.28,100.3,99.0,-6.81,2013.0,1376,South Carolina
211.0,Mt St Mary's,NEC,18-14,-3.8,100.7,104.5,67.5,0.117,-5.0,99.9,104.9,0.23,2013.0,1291,Mt St Mary's
215.0,UC Davis,BW,14-17,-4.05,102.7,106.7,67.4,-0.009,-3.49,100.8,104.3,-4.26,2013.0,1413,UC Davis
244.0,N Kentucky,ASun,11-16,-7.26,95.5,102.8,60.1,-0.033,-6.78,97.9,104.7,-3.93,2013.0,1297,N Kentucky
251.0,North Dakota,BSky,16-17,-7.76,95.4,103.2,67.6,0.038,-6.6,99.1,105.7,-0.12,2013.0,1315,North Dakota
274.0,Troy,SB,12-21,-10.31,97.1,107.4,61.2,0.005,-5.14,97.7,102.8,-7.87,2013.0,1407,Troy
278.0,Winthrop,BSth,14-17,-10.63,93.5,104.1,61.6,0.037,-5.58,97.5,103.1,1.69,2013.0,1457,Winthrop
287.0,UNC Wilmington,CAA,10-20,-11.86,95.2,107.1,66.9,0.022,-3.01,100.0,103.0,-1.31,2013.0,1423,UNC Wilmington
319.0,ETSU,ASun,10-22,-15.68,93.1,108.8,65.3,0.063,-2.76,100.5,103.3,4.8,2013.0,1190,ETSU
345.0,New Orleans,ind,8-18,-25.19,85.8,111.0,71.1,0.042,-8.3,96.5,104.8,-8.3,2013.0,1309,New Orleans
1.0,Louisville,Amer,31-6,30.4,118.3,87.9,68.9,-0.044,5.24,107.1,101.9,-1.38,2014.0,1257,Louisville
2.0,Arizona,P12,33-5,30.12,115.9,85.8,64.4,0.014,10.38,110.0,99.6,5.62,2014.0,1112,Arizona
3.0,Florida,SEC,36-3,28.55,116.0,87.4,62.9,0.053,9.96,109.5,99.5,5.64,2014.0,1196,Florida
4.0,Virginia,ACC,30-7,26.45,114.1,87.7,61.2,0.013,9.38,109.4,100.0,4.12,2014.0,1438,Virginia
5.0,Wisconsin,B10,30-8,25.83,121.4,95.6,63.9,0.019,12.08,110.2,98.1,6.15,2014.0,1458,Wisconsin
6.0,Wichita St,MVC,35-1,25.36,117.1,91.8,64.9,-0.009,1.68,105.8,104.1,4.84,2014.0,1455,Wichita St
7.0,Kansas,B12,25-10,24.55,118.7,94.1,68.5,-0.05,13.04,112.2,99.2,11.58,2014.0,1242,Kansas
8.0,Duke,ACC,26-9,24.22,124.1,99.9,65.9,-0.035,10.01,109.5,99.4,6.25,2014.0,1181,Duke
9.0,Michigan St,B10,29-9,23.92,118.0,94.1,66.0,-0.003,11.19,110.1,99.0,3.26,2014.0,1277,Michigan St
11.0,Villanova,BE,29-5,23.63,115.7,92.1,67.8,0.075,8.03,110.0,101.9,4.52,2014.0,1437,Villanova
12.0,Michigan,B10,28-9,23.44,123.3,99.9,62.9,0.048,11.95,110.0,98.1,2.55,2014.0,1276,Michigan
13.0,Kentucky,SEC,29-11,22.57,117.8,95.3,65.7,-0.025,11.29,110.4,99.1,7.72,2014.0,1246,Kentucky
14.0,UCLA,P12,28-9,22.52,118.1,95.6,69.9,-0.019,8.54,109.2,100.6,0.46,2014.0,1417,UCLA
17.0,Creighton,BE,27-8,21.69,123.6,102.0,65.2,0.024,8.1,108.3,100.2,3.47,2014.0,1166,Creighton
20.0,Iowa St,B12,28-8,21.05,118.3,97.2,71.7,0.064,11.41,111.1,99.6,3.88,2014.0,1235,Iowa St
21.0,Oklahoma St,B12,21-13,20.93,115.4,94.4,69.0,-0.109,9.87,109.8,100.0,1.29,2014.0,1329,Oklahoma St
24.0,Gonzaga,WCC,29-7,20.14,113.4,93.3,67.0,0.016,5.59,108.8,103.2,4.3,2014.0,1211,Gonzaga
25.0,VA Commonwealth,A10,26-9,19.8,108.6,88.8,70.2,-0.058,6.2,107.4,101.2,3.31,2014.0,1433,VA Commonwealth
26.0,Baylor,B12,26-12,19.34,118.3,98.9,63.6,0.012,11.55,111.2,99.6,4.27,2014.0,1124,Baylor
27.0,Cincinnati,Amer,27-7,19.24,109.0,89.8,63.0,0.036,6.11,107.6,101.5,0.24,2014.0,1153,Cincinnati
28.0,Oregon,P12,24-10,19.0,118.3,99.3,69.7,-0.037,8.67,109.4,100.7,2.89,2014.0,1332,Oregon
29.0,North Carolina,ACC,24-10,18.44,112.1,93.6,70.9,0.001,9.88,110.6,100.7,4.45,2014.0,1314,North Carolina
31.0,SMU,Amer,27-10,17.67,110.8,93.1,66.0,-0.043,4.97,106.3,101.4,-3.17,2014.0,1374,SMU
38.0,Florida St,ACC,22-14,14.85,111.7,96.8,66.6,-0.005,9.92,109.3,99.4,2.83,2014.0,1199,Florida St
42.0,Dayton,A10,26-11,14.24,113.2,99.0,65.5,0.038,6.91,107.6,100.7,1.74,2014.0,1173,Dayton
43.0,Maryland,ACC,17-15,14.21,108.7,94.5,68.6,-0.074,9.72,109.2,99.4,4.86,2014.0,1268,Maryland
44.0,Arkansas,SEC,22-12,14.13,110.5,96.4,72.2,-0.033,6.35,107.8,101.4,-1.08,2014.0,1116,Arkansas
45.0,Kansas St,B12,20-13,14.06,107.2,93.1,65.5,0.002,9.71,110.8,101.1,-0.2,2014.0,1243,Kansas St
46.0,Minnesota,B10,25-13,13.91,113.2,99.3,64.8,0.044,9.98,109.4,99.4,0.79,2014.0,1278,Minnesota
47.0,Providence,BE,23-12,13.79,113.9,100.2,64.9,0.052,8.82,109.0,100.2,3.13,2014.0,1344,Providence
54.0,Xavier,BE,21-13,13.08,112.2,99.1,65.9,0.018,8.95,109.2,100.3,3.54,2014.0,1462,Xavier
58.0,West Virginia,B12,17-16,12.24,114.8,102.6,68.2,-0.065,9.37,110.2,100.8,-0.61,2014.0,1452,West Virginia
65.0,St Mary's CA,WCC,23-12,11.4,112.0,100.6,63.4,0.014,4.88,108.2,103.3,2.34,2014.0,1388,St Mary's CA
68.0,Marquette,BE,17-15,11.04,109.1,98.1,66.1,-0.051,8.08,108.7,100.6,0.22,2014.0,1266,Marquette
72.0,New Mexico St,WAC,26-10,10.57,112.3,101.7,66.9,-0.029,-3.78,102.5,106.3,1.98,2014.0,1308,New Mexico St
75.0,Vermont,AE,22-11,10.18,109.3,99.1,63.7,-0.064,-5.27,100.7,106.0,4.99,2014.0,1436,Vermont
76.0,Iona,MAAC,22-11,10.14,118.1,107.9,70.3,-0.024,0.33,104.8,104.4,6.33,2014.0,1233,Iona
77.0,Miami FL,ACC,17-16,9.86,108.6,98.7,58.7,-0.045,6.25,107.1,100.8,-1.95,2014.0,1274,Miami FL
89.0,MTSU,CUSA,24-9,8.23,104.7,96.5,64.7,0.047,-1.41,103.1,104.5,-0.85,2014.0,1292,MTSU
91.0,NC Central,MEAC,28-6,7.98,108.1,100.1,64.3,0.041,-10.8,97.5,108.3,-3.58,2014.0,1300,NC Central
93.0,Purdue,B10,15-17,7.88,107.9,100.0,68.3,-0.039,8.84,108.7,99.9,-2.56,2014.0,1345,Purdue
95.0,Seton Hall,BE,17-17,7.84,108.1,100.3,66.0,-0.06,5.85,108.5,102.6,-5.22,2014.0,1371,Seton Hall
96.0,Notre Dame,ACC,15-17,7.7,112.9,105.2,64.6,-0.063,8.11,109.1,100.9,1.86,2014.0,1323,Notre Dame
99.0,Butler,BE,14-17,6.73,105.4,98.6,63.9,-0.057,7.36,108.7,101.3,-1.64,2014.0,1139,Butler
100.0,Princeton,Ivy,21-9,6.43,105.8,99.3,65.0,0.014,-2.7,103.4,106.1,-3.14,2014.0,1343,Princeton
109.0,Vanderbilt,SEC,15-16,5.47,103.5,98.0,64.2,0.018,6.86,107.5,100.7,1.71,2014.0,1435,Vanderbilt
112.0,South Carolina,SEC,14-20,5.32,106.9,101.5,67.0,-0.052,7.92,108.2,100.2,2.46,2014.0,1376,South Carolina
115.0,Rhode Island,A10,14-18,5.07,103.8,98.7,66.6,-0.068,4.91,106.4,101.5,-1.88,2014.0,1348,Rhode Island
118.0,Wake Forest,ACC,17-16,4.96,106.0,101.0,68.0,0.058,8.45,109.7,101.2,-2.19,2014.0,1448,Wake Forest
134.0,Northwestern,B10,14-19,3.32,97.6,94.3,62.5,0.033,10.26,110.2,99.9,-1.08,2014.0,1321,Northwestern
186.0,Northwestern,Slnd,17-14,-1.29,108.0,109.3,75.7,-0.019,-5.35,102.4,107.8,6.36,2014.0,1321,Northwestern
140.0,S Dakota St,Sum,19-13,2.77,106.4,103.7,67.1,-0.002,-2.06,104.0,106.1,-0.13,2014.0,1355,S Dakota St
144.0,Nevada,MWC,15-17,2.17,108.8,106.7,65.4,0.027,3.52,107.1,103.6,1.91,2014.0,1305,Nevada
152.0,USC,P12,11-21,1.52,102.9,101.4,70.2,-0.015,8.82,109.4,100.5,0.83,2014.0,1425,USC
159.0,Bucknell,Pat,16-14,0.93,102.4,101.5,64.5,-0.041,-2.96,102.8,105.7,0.59,2014.0,1137,Bucknell
174.0,Virginia Tech,ACC,9-22,-0.72,99.5,100.3,64.0,-0.081,7.52,109.0,101.5,-2.51,2014.0,1439,Virginia Tech
182.0,FL Gulf Coast,ASun,22-13,-1.05,99.4,100.5,68.2,0.011,-7.27,102.2,109.4,-4.49,2014.0,1195,FL Gulf Coast
193.0,Kent,MAC,16-16,-2.13,103.6,105.7,66.4,-0.022,-2.24,102.1,104.4,-2.28,2014.0,1245,Kent
208.0,Mt St Mary's,NEC,16-17,-3.96,107.2,111.2,69.8,0.03,-4.95,102.0,107.0,1.18,2014.0,1291,Mt St Mary's
229.0,Winthrop,BSth,20-13,-5.43,102.6,108.0,66.3,0.061,-7.25,101.3,108.6,-0.8,2014.0,1457,Winthrop
243.0,ETSU,ASun,19-16,-6.15,102.9,109.0,70.6,0.019,-7.09,101.4,108.5,-4.68,2014.0,1190,ETSU
250.0,Troy,SB,11-20,-6.8,101.3,108.1,65.1,-0.086,-3.32,102.3,105.6,-4.48,2014.0,1407,Troy
258.0,TX Southern,SWAC,19-15,-7.48,106.0,113.5,67.3,-0.004,-11.84,96.9,108.7,-1.23,2014.0,1411,TX Southern
263.0,North Dakota,BSky,17-17,-7.74,103.8,111.5,69.4,0.063,-5.39,103.2,108.6,6.82,2014.0,1315,North Dakota
280.0,UNC Wilmington,CAA,9-23,-9.66,95.4,105.0,64.0,-0.043,-0.89,105.2,106.1,1.3,2014.0,1423,UNC Wilmington
309.0,Jacksonville St,OVC,10-21,-14.03,97.6,111.6,62.8,-0.016,-6.04,102.8,108.9,-6.84,2014.0,1240,Jacksonville St
311.0,N Kentucky,ASun,9-21,-14.05,102.0,116.1,63.5,-0.044,-6.32,101.5,107.9,-2.89,2014.0,1297,N Kentucky
316.0,UC Davis,BW,9-22,-15.12,100.8,115.9,66.4,0.035,-2.82,103.4,106.3,-5.15,2014.0,1413,UC Davis
317.0,New Orleans,Slnd,11-15,-15.21,95.5,110.7,71.7,0.065,-6.77,102.1,108.9,10.65,2014.0,1309,New Orleans
1.0,Kentucky,SEC,38-1,36.9,119.4,82.5,63.0,0.048,9.86,107.9,98.0,7.48,2015.0,1246,Kentucky
2.0,Wisconsin,B10,36-4,33.7,127.0,93.3,59.4,0.015,11.0,108.2,97.2,6.74,2015.0,1458,Wisconsin
3.0,Duke,ACC,35-4,32.46,122.5,90.0,66.1,0.068,11.25,109.1,97.8,3.87,2015.0,1181,Duke
4.0,Arizona,P12,34-4,32.4,117.9,85.5,66.0,-0.032,8.04,107.1,99.1,2.49,2015.0,1112,Arizona
5.0,Villanova,BE,33-3,30.65,120.6,89.9,64.9,0.031,8.41,107.1,98.7,2.28,2015.0,1437,Villanova
6.0,Virginia,ACC,30-4,30.08,113.6,83.5,58.9,0.023,8.79,107.4,98.6,2.7,2015.0,1438,Virginia
7.0,Gonzaga,WCC,35-3,27.76,119.7,92.0,65.4,0.019,5.11,106.2,101.1,5.79,2015.0,1211,Gonzaga
9.0,Notre Dame,ACC,32-6,24.95,123.4,98.5,63.9,0.062,8.56,106.7,98.2,-6.7,2015.0,1323,Notre Dame
10.0,North Carolina,ACC,26-12,23.85,117.1,93.2,69.2,-0.026,13.55,110.1,96.5,9.89,2015.0,1314,North Carolina
12.0,Kansas,B12,27-9,22.7,112.5,89.8,67.2,0.071,14.01,109.6,95.6,11.45,2015.0,1242,Kansas
13.0,Wichita St,MVC,30-5,22.16,113.7,91.6,62.8,0.022,3.62,104.2,100.6,4.82,2015.0,1455,Wichita St
14.0,Baylor,B12,24-10,22.11,114.5,92.4,62.3,-0.035,11.04,107.8,96.8,2.71,2015.0,1124,Baylor
15.0,Michigan St,B10,27-12,21.7,114.5,92.8,63.2,-0.017,11.2,109.3,98.1,1.93,2015.0,1277,Michigan St
16.0,Iowa St,B12,25-9,21.45,116.9,95.5,69.9,0.006,11.27,107.9,96.6,1.73,2015.0,1235,Iowa St
17.0,Louisville,ACC,27-9,21.22,108.2,86.9,65.1,0.027,10.45,108.4,98.0,1.33,2015.0,1257,Louisville
20.0,Butler,BE,23-11,20.09,108.1,88.0,63.9,-0.022,10.24,109.4,99.1,2.77,2015.0,1139,Butler
21.0,Xavier,BE,23-14,19.48,114.6,95.1,65.4,-0.062,10.84,108.3,97.5,3.77,2015.0,1462,Xavier
25.0,West Virginia,B12,25-10,17.62,110.5,92.8,68.4,0.087,10.5,107.9,97.4,-0.33,2015.0,1452,West Virginia
26.0,SMU,Amer,27-7,17.5,111.0,93.5,63.4,-0.004,3.37,104.2,100.9,4.37,2015.0,1374,SMU
27.0,Providence,BE,22-12,16.72,110.5,93.8,65.8,0.039,10.99,108.6,97.6,5.33,2015.0,1344,Providence
29.0,Arkansas,SEC,27-9,16.42,112.7,96.2,69.7,0.045,7.13,106.3,99.2,0.26,2015.0,1116,Arkansas
30.0,VA Commonwealth,A10,26-10,16.27,109.0,92.8,66.6,0.044,7.11,106.6,99.5,10.14,2015.0,1433,VA Commonwealth
33.0,Maryland,B10,28-7,15.72,109.3,93.5,64.5,0.128,8.39,107.4,99.0,1.07,2015.0,1268,Maryland
34.0,Florida,SEC,16-17,15.38,105.2,89.8,63.2,-0.117,10.96,108.5,97.5,6.92,2015.0,1196,Florida
36.0,Vanderbilt,SEC,21-14,14.98,113.6,98.6,63.5,-0.11,6.52,105.1,98.6,-1.24,2015.0,1435,Vanderbilt
38.0,Oklahoma St,B12,18-14,14.89,109.6,94.7,63.9,-0.045,10.85,107.0,96.2,0.18,2015.0,1329,Oklahoma St
40.0,UCLA,P12,22-14,14.68,110.8,96.1,66.6,0.032,9.25,106.9,97.6,5.69,2015.0,1417,UCLA
41.0,Miami FL,ACC,25-13,14.51,110.5,96.0,62.9,0.022,7.83,106.5,98.7,0.32,2015.0,1274,Miami FL
42.0,Dayton,A10,27-9,14.23,107.2,93.0,64.3,0.022,4.32,104.4,100.1,2.57,2015.0,1173,Dayton
43.0,Cincinnati,Amer,23-11,14.14,106.0,91.9,60.0,-0.015,4.4,103.9,99.5,5.12,2015.0,1153,Cincinnati
44.0,Purdue,B10,21-13,13.96,108.8,94.9,64.9,-0.006,8.55,108.1,99.6,0.62,2015.0,1345,Purdue
45.0,Oregon,P12,26-10,13.91,113.1,99.2,67.1,0.119,8.39,107.5,99.1,1.77,2015.0,1332,Oregon
52.0,Minnesota,B10,18-15,13.07,110.6,97.5,67.6,-0.099,7.53,105.9,98.4,-2.1,2015.0,1278,Minnesota
61.0,Rhode Island,A10,23-10,11.69,101.9,90.2,66.6,-0.005,2.71,103.3,100.6,-0.72,2015.0,1348,Rhode Island
63.0,South Carolina,SEC,17-16,11.36,103.5,92.2,64.7,-0.048,9.03,107.2,98.2,2.79,2015.0,1376,South Carolina
67.0,St Mary's CA,WCC,21-10,10.35,108.8,98.5,62.8,0.027,3.77,105.9,102.1,2.9,2015.0,1388,St Mary's CA
74.0,Michigan,B10,16-16,9.54,107.8,98.3,60.4,-0.008,10.62,108.6,97.9,5.11,2015.0,1276,Michigan
79.0,Creighton,BE,14-19,8.35,108.8,100.5,62.8,-0.082,8.43,106.7,98.3,-1.57,2015.0,1166,Creighton
80.0,Kansas St,B12,15-17,8.17,104.4,96.3,62.7,0.009,11.01,107.8,96.7,1.07,2015.0,1243,Kansas St
83.0,Seton Hall,BE,16-15,7.98,107.1,99.1,66.2,0.012,8.79,107.1,98.3,-0.54,2015.0,1371,Seton Hall
93.0,Marquette,BE,13-19,6.87,103.2,96.3,64.6,-0.043,10.9,109.5,98.6,2.36,2015.0,1266,Marquette
94.0,S Dakota St,Sum,24-11,6.84,106.7,99.9,66.7,-0.006,-4.04,101.3,105.4,-2.11,2015.0,1355,S Dakota St
98.0,New Mexico St,WAC,23-11,6.6,105.2,98.6,63.0,-0.042,-5.13,99.7,104.9,2.04,2015.0,1308,New Mexico St
99.0,Florida St,ACC,17-16,6.33,103.5,97.1,66.0,0.037,7.3,106.8,99.5,-1.27,2015.0,1199,Florida St
100.0,Iona,MAAC,26-9,6.19,111.5,105.3,70.2,0.048,-3.01,100.2,103.2,0.2,2015.0,1233,Iona
102.0,UC Davis,BW,25-7,6.15,110.3,104.2,63.5,0.067,-3.23,101.3,104.5,-8.12,2015.0,1413,UC Davis
103.0,NC Central,MEAC,25-8,6.07,103.3,97.3,60.2,0.027,-10.22,96.3,106.5,0.29,2015.0,1300,NC Central
119.0,Kent,MAC,23-12,5.02,105.3,100.3,62.0,0.029,-0.85,102.7,103.6,-4.9,2015.0,1245,Kent
120.0,Wake Forest,ACC,13-19,4.75,104.3,99.6,68.5,-0.025,8.6,107.6,99.0,-0.23,2015.0,1448,Wake Forest
122.0,Northwestern,B10,15-17,4.59,105.7,101.1,60.2,0.009,8.1,108.0,99.9,-2.44,2015.0,1321,Northwestern
229.0,Northwestern,Slnd,19-13,-5.13,110.5,115.6,73.6,0.054,-5.41,100.2,105.6,8.48,2015.0,1321,Northwestern
123.0,Vermont,AE,20-14,4.41,101.3,96.9,64.8,-0.118,-5.96,98.4,104.4,-1.72,2015.0,1436,Vermont
151.0,USC,P12,12-20,1.48,99.3,97.8,68.7,-0.006,6.33,106.0,99.6,-2.28,2015.0,1425,USC
157.0,MTSU,CUSA,19-17,0.61,100.3,99.6,61.5,0.003,-0.57,102.2,102.8,1.0,2015.0,1292,MTSU
159.0,Princeton,Ivy,16-14,0.58,105.3,104.7,65.2,-0.032,-2.95,100.3,103.3,-4.28,2015.0,1343,Princeton
174.0,UNC Wilmington,CAA,18-14,-0.9,99.4,100.3,67.9,0.058,-2.72,102.1,104.8,-1.56,2015.0,1423,UNC Wilmington
175.0,Virginia Tech,ACC,11-22,-0.9,104.2,105.1,64.2,-0.043,6.4,106.1,99.7,-7.47,2015.0,1439,Virginia Tech
176.0,Winthrop,BSth,19-13,-0.96,102.7,103.7,66.4,-0.051,-7.71,99.1,106.8,-6.68,2015.0,1457,Winthrop
190.0,FL Gulf Coast,ASun,22-11,-1.91,99.5,101.4,64.9,0.044,-5.8,101.2,106.9,1.66,2015.0,1195,FL Gulf Coast
201.0,Bucknell,Pat,19-15,-2.77,103.6,106.4,64.6,0.076,-3.46,102.2,105.6,0.62,2015.0,1137,Bucknell
214.0,TX Southern,SWAC,22-13,-3.86,101.9,105.8,64.2,0.129,-7.95,98.0,105.9,9.56,2015.0,1411,TX Southern
217.0,ETSU,SC,16-14,-4.27,101.1,105.3,67.9,0.035,-4.61,101.5,106.1,2.54,2015.0,1190,ETSU
226.0,Mt St Mary's,NEC,15-15,-4.99,96.3,101.3,63.0,0.04,-5.36,100.3,105.6,2.2,2015.0,1291,Mt St Mary's
246.0,N Kentucky,ASun,13-17,-6.72,102.0,108.7,64.5,-0.059,-5.53,102.0,107.5,1.31,2015.0,1297,N Kentucky
271.0,Nevada,MWC,9-22,-8.55,95.7,104.2,64.3,-0.084,0.6,102.4,101.7,-2.49,2015.0,1305,Nevada
287.0,Troy,SB,10-19,-9.78,97.7,107.5,65.3,-0.054,-5.58,98.9,104.5,-12.58,2015.0,1407,Troy
310.0,New Orleans,Slnd,11-18,-13.23,95.0,108.3,68.0,-0.035,-7.94,99.6,107.5,5.46,2015.0,1309,New Orleans
311.0,Jacksonville St,OVC,12-19,-13.29,92.9,106.2,63.7,0.053,-4.7,100.8,105.5,-5.5,2015.0,1240,Jacksonville St
314.0,North Dakota,BSky,8-22,-13.78,94.8,108.5,68.1,-0.031,-4.5,102.6,107.1,2.01,2015.0,1315,North Dakota
